token_id,scheduled_date_utc,scheduled_unlock_tokens,component_count,known_at_utc,known_lead_days,pit_status,timing_precision,source_commit,source_sha256
stepn,2024-06-28,27166666.666666668,1,2023-05-19T18:00:05Z,406,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-07-11,3210144.6666666665,1,2023-05-19T18:00:05Z,419,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-07-28,27166666.666666668,1,2023-05-19T18:00:05Z,436,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-08-03,2111111.111111111,1,2023-05-19T18:00:05Z,442,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-08-07,1700800.0,1,2023-05-19T18:00:05Z,446,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-08-10,1487200.0,1,2023-05-19T18:00:05Z,449,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-08-11,3210144.6666666665,1,2023-05-19T18:00:05Z,450,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-08-28,27166666.666666668,1,2023-05-19T18:00:05Z,467,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-09-11,3210144.6666666665,1,2023-05-19T18:00:05Z,481,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-09-28,27166666.666666668,1,2023-05-19T18:00:05Z,498,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-10-11,3210144.6666666665,1,2023-05-19T18:00:05Z,511,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-10-28,27166666.666666668,1,2023-05-19T18:00:05Z,528,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-11-03,2111111.111111111,1,2023-05-19T18:00:05Z,534,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-11-07,1700800.0,1,2023-05-19T18:00:05Z,538,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
project-galaxy,2024-11-10,1487200.0,1,2023-05-19T18:00:05Z,541,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-11-11,3210144.6666666665,1,2023-05-19T18:00:05Z,542,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-11-28,27166666.666666668,1,2023-05-19T18:00:05Z,559,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
aptos,2024-12-11,3210144.6666666665,1,2023-05-19T18:00:05Z,572,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
stepn,2024-12-28,27166666.666666668,1,2023-05-19T18:00:05Z,589,IMMUTABLE_SNAPSHOT_CANDIDATE,calendar_date_only,7d2bf881ca3c6ffe7c30ab34889bb92c08b1904a,5ffc842f7385f57cec44f0ec63624bb704f2e222a40a24a04664d2da5d4c4f8c
